go version go1.27.1 freebsd/amd64
Done vet in 79.71ms
Done test in 544.53ms
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2183754	       547.1 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2196004	       552.4 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2190734	       546.5 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2200497	       546.7 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2197250	       552.8 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2190748	       552.0 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2180725	       548.5 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2170755	       547.1 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2755626	       441.2 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2742396	       443.7 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2746044	       440.5 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2745272	       440.3 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2733744	       447.6 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2747234	       439.4 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2582187	       441.7 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2733945	       453.5 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementMyFmt-8            	 3492792	       345.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/before.StatementMyFmt-8            	 3503847	       343.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/before.StatementMyFmt-8            	 3483858	       342.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/before.StatementMyFmt-8            	 3504270	       343.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/before.StatementMyFmt-8            	 3483802	       344.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/before.StatementMyFmt-8            	 3505237	       343.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/before.StatementMyFmt-8            	 3502557	       343.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/before.StatementMyFmt-8            	 3486253	       342.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/1.Statement-8                      	 2906148	       411.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/1.Statement-8                      	 2907652	       412.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/1.Statement-8                      	 2916574	       411.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/1.Statement-8                      	 2919230	       413.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/1.Statement-8                      	 2889019	       413.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/1.Statement-8                      	 2919243	       411.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/1.Statement-8                      	 2911402	       414.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/1.Statement-8                      	 2903307	       412.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/Random/before.StatementOriginal-8        	   84336	     14336 ns/op	   47728 B/op	     164 allocs/op
BenchmarkStatement/Random/before.StatementOriginal-8        	   83319	     14353 ns/op	   47728 B/op	     164 allocs/op
BenchmarkStatement/Random/before.StatementOriginal-8        	   83552	     14398 ns/op	   47728 B/op	     164 allocs/op
BenchmarkStatement/Random/before.StatementOriginal-8        	   83215	     14358 ns/op	   47728 B/op	     164 allocs/op
BenchmarkStatement/Random/before.StatementOriginal-8        	   84268	     14379 ns/op	   47728 B/op	     164 allocs/op
BenchmarkStatement/Random/before.StatementOriginal-8        	   83250	     14399 ns/op	   47728 B/op	     164 allocs/op
BenchmarkStatement/Random/before.StatementOriginal-8        	   83704	     14326 ns/op	   47728 B/op	     164 allocs/op
BenchmarkStatement/Random/before.StatementOriginal-8        	   84116	     14366 ns/op	   47728 B/op	     164 allocs/op
BenchmarkStatement/Random/before.StatementBytesBuffer-8     	  153496	      7828 ns/op	    5472 B/op	      86 allocs/op
BenchmarkStatement/Random/before.StatementBytesBuffer-8     	  153991	      7796 ns/op	    5472 B/op	      86 allocs/op
