go version go1.27.1 freebsd/amd64
Done vet in 3981.43ms
Done test in 6002.00ms
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkStatement/Random/before.StatementMyFmt-8           	  168819	      7083 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/Random/before.StatementMyFmt-8           	  170178	      7070 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/Random/before.StatementMyFmt-8           	  159691	      7082 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/Random/1.Statement-8                     	  199212	      6016 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/Random/1.Statement-8                     	  198992	      5986 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/Random/1.Statement-8                     	  201145	      5998 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/Random/1.Statement-8                     	  200499	      5996 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/Random/1.Statement-8                     	  199214	      6004 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/Random/1.Statement-8                     	  198841	      5984 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/Random/1.Statement-8                     	  200865	      5992 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/Random/1.Statement-8                     	  199176	      5998 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/BigCo/1.StatementWithPreparedData-8         	 3621868	       331.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/BigCo/1.StatementWithPreparedData-8         	 3504194	       330.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/BigCo/1.StatementWithPreparedData-8         	 3618961	       331.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/BigCo/1.StatementWithPreparedData-8         	 3622995	       331.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/BigCo/1.StatementWithPreparedData-8         	 3632688	       330.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/BigCo/1.StatementWithPreparedData-8         	 3610600	       331.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/BigCo/1.StatementWithPreparedData-8         	 3616315	       330.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/BigCo/1.StatementWithPreparedData-8         	 3605982	       330.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/Random/1.StatementWithPreparedData-8        	  207076	      5728 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/Random/1.StatementWithPreparedData-8        	  210272	      5726 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/Random/1.StatementWithPreparedData-8        	  209371	      5734 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/Random/1.StatementWithPreparedData-8        	  207584	      5721 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/Random/1.StatementWithPreparedData-8        	  208612	      5739 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/Random/1.StatementWithPreparedData-8        	  209992	      5744 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/Random/1.StatementWithPreparedData-8        	  209704	      5728 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementWithPreparedData/Random/1.StatementWithPreparedData-8        	  210728	      5717 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/before.StatementsOriginal-8                          	 1000000	      1129 ns/op	     864 B/op	      20 allocs/op
BenchmarkStatements/BigCo/before.StatementsOriginal-8                          	 1000000	      1136 ns/op	     864 B/op	      20 allocs/op
BenchmarkStatements/BigCo/before.StatementsOriginal-8                          	 1000000	      1127 ns/op	     864 B/op	      20 allocs/op
BenchmarkStatements/BigCo/before.StatementsOriginal-8                          	  984650	      1174 ns/op	     864 B/op	      20 allocs/op
BenchmarkStatements/BigCo/before.StatementsOriginal-8                          	 1000000	      1182 ns/op	     864 B/op	      20 allocs/op
BenchmarkStatements/BigCo/before.StatementsOriginal-8                          	 1000000	      1164 ns/op	     864 B/op	      20 allocs/op
BenchmarkStatements/BigCo/before.StatementsOriginal-8                          	  908572	      1185 ns/op	     864 B/op	      20 allocs/op
BenchmarkStatements/BigCo/before.StatementsOriginal-8                          	 1000000	      1194 ns/op	     864 B/op	      20 allocs/op
BenchmarkStatements/BigCo/before.StatementsBytesBuffer-8                       	 1283506	       920.6 ns/op	     672 B/op	      14 allocs/op
BenchmarkStatements/BigCo/before.StatementsBytesBuffer-8                       	 1319817	       908.7 ns/op	     672 B/op	      14 allocs/op
BenchmarkStatements/BigCo/before.StatementsBytesBuffer-8                       	 1323693	       906.7 ns/op	     672 B/op	      14 allocs/op
BenchmarkStatements/BigCo/before.StatementsBytesBuffer-8                       	 1313954	       933.1 ns/op	     672 B/op	      14 allocs/op
BenchmarkStatements/BigCo/before.StatementsBytesBuffer-8                       	 1319560	       952.9 ns/op	     672 B/op	      14 allocs/op
BenchmarkStatements/BigCo/before.StatementsBytesBuffer-8                       	 1314948	       913.2 ns/op	     672 B/op	      14 allocs/op
BenchmarkStatements/BigCo/before.StatementsBytesBuffer-8                       	 1000000	      1058 ns/op	     672 B/op	      14 allocs/op
BenchmarkStatements/BigCo/before.StatementsBytesBuffer-8                       	 1230678	       923.9 ns/op	     672 B/op	      14 allocs/op
BenchmarkStatements/BigCo/before.StatementsMyFmt-8                             	 1633910	       732.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/before.StatementsMyFmt-8                             	 1643706	       734.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/before.StatementsMyFmt-8                             	 1632710	       734.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/before.StatementsMyFmt-8                             	 1630792	       735.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/before.StatementsMyFmt-8                             	 1629229	       733.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/before.StatementsMyFmt-8                             	 1635616	       733.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/before.StatementsMyFmt-8                             	 1635476	       736.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/before.StatementsMyFmt-8                             	 1632513	       735.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/1.Statements-8                                       	 1707195	       703.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/1.Statements-8                                       	 1696447	       703.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/1.Statements-8                                       	 1705203	       705.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/1.Statements-8                                       	 1702197	       705.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/1.Statements-8                                       	 1702203	       705.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/1.Statements-8                                       	 1706432	       704.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/1.Statements-8                                       	 1702032	       706.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/BigCo/1.Statements-8                                       	 1703217	       706.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/before.StatementsOriginal-8                         	     681	   1754400 ns/op	 5740908 B/op	   16436 allocs/op
BenchmarkStatements/Random/before.StatementsOriginal-8                         	     675	   2152535 ns/op	 5740932 B/op	   16436 allocs/op
BenchmarkStatements/Random/before.StatementsOriginal-8                         	     644	   1840119 ns/op	 5740918 B/op	   16436 allocs/op
BenchmarkStatements/Random/before.StatementsOriginal-8                         	     638	   1754703 ns/op	 5740909 B/op	   16436 allocs/op
BenchmarkStatements/Random/before.StatementsOriginal-8                         	     680	   1759926 ns/op	 5740908 B/op	   16436 allocs/op
BenchmarkStatements/Random/before.StatementsOriginal-8                         	     680	   1755743 ns/op	 5740908 B/op	   16436 allocs/op
BenchmarkStatements/Random/before.StatementsOriginal-8                         	     685	   1767668 ns/op	 5740909 B/op	   16436 allocs/op
BenchmarkStatements/Random/before.StatementsOriginal-8                         	     682	   1761667 ns/op	 5740907 B/op	   16436 allocs/op
BenchmarkStatements/Random/before.StatementsBytesBuffer-8                      	    1441	    935303 ns/op	  472274 B/op	    8564 allocs/op
BenchmarkStatements/Random/before.StatementsBytesBuffer-8                      	    1441	    841708 ns/op	  472274 B/op	    8564 allocs/op
BenchmarkStatements/Random/before.StatementsBytesBuffer-8                      	    1395	    842441 ns/op	  472274 B/op	    8564 allocs/op
BenchmarkStatements/Random/before.StatementsBytesBuffer-8                      	    1453	    826416 ns/op	  472274 B/op	    8564 allocs/op
BenchmarkStatements/Random/before.StatementsBytesBuffer-8                      	    1448	    839726 ns/op	  472274 B/op	    8564 allocs/op
BenchmarkStatements/Random/before.StatementsBytesBuffer-8                      	    1347	    911291 ns/op	  472274 B/op	    8564 allocs/op
BenchmarkStatements/Random/before.StatementsBytesBuffer-8                      	    1357	    868666 ns/op	  472274 B/op	    8564 allocs/op
BenchmarkStatements/Random/before.StatementsBytesBuffer-8                      	    1460	    851085 ns/op	  472274 B/op	    8564 allocs/op
BenchmarkStatements/Random/before.StatementsMyFmt-8                            	    1654	    736436 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/before.StatementsMyFmt-8                            	    1652	    726802 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/before.StatementsMyFmt-8                            	    1657	    724449 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/before.StatementsMyFmt-8                            	    1657	    729685 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/before.StatementsMyFmt-8                            	    1647	    728568 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/before.StatementsMyFmt-8                            	    1642	    726096 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/before.StatementsMyFmt-8                            	    1640	    728312 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/before.StatementsMyFmt-8                            	    1650	    725515 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/1.Statements-8                                      	    1938	    619921 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/1.Statements-8                                      	    1910	    620527 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/1.Statements-8                                      	    1928	    620341 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/1.Statements-8                                      	    1934	    621705 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/1.Statements-8                                      	    1934	    619728 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/1.Statements-8                                      	    1927	    621736 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/1.Statements-8                                      	    1929	    621449 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatements/Random/1.Statements-8                                      	    1916	    620946 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/BigCo/1.StatementsWithPreparedData-8       	 1919139	       622.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/BigCo/1.StatementsWithPreparedData-8       	 1904400	       622.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/BigCo/1.StatementsWithPreparedData-8       	 1924618	       623.6 ns/op	       0 B/op	       0 allocs/op
